,民國101年11月,,,,,,,Nov-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1467  南緯,46970734,5095237,1608,9.22,9.24,9.48,9.52,11月30日,8.86,11月1日,3.03
1468  昶和,5345156,551078,341,9.7,9.67,9.95,10.5,11月7日,8.99,11月21日,0.34
1469  理隆,1187194,134003,102,8.86,8.9,9.09,9.18,11月26日,8.41,11月22日,0.11
1470  大統染,2349806,197083,105,11.92,11.91,12.6,12.6,11月30日,10.9,11月2日,0.23
1472  三洋紡,122748602,6723207,3228,18.26,17.73,17.05,20,11月9日,16.4,11月20日,11.3
1473  台南,66735578,2332368,1257,28.61,28.14,29.05,29.8,11月29日,27.5,11月22日,1.59
1474  弘裕,9621789,1411843,518,6.82,6.83,7,7,11月30日,6.62,11月15日,1.02
1475  本盟,309628,44202,43,7,7.09,7.14,7.54,11月19日,6.43,11月7日,0.14
1476  儒鴻,2675100338,28455451,18638,94.01,94.39,96,98.6,11月9日,87.1,11月1日,11.57
1477  聚陽,1145904014,12752267,8701,89.86,89.71,88.5,91.8,11月2日,87.2,11月1日,7.73
4414  如興,91890121,9604198,3259,9.57,9.36,9.12,10.3,11月5日,9.01,11月1日,16.38
4426  利勤,83701998,3183957,1822,26.29,26,26.4,27.9,11月13日,24.4,11月8日,4.97
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,190230867,5315011,2258,35.79,35.77,35.95,36.3,11月9日,34,11月1日,1.02
1504  東元,1404446895,68728745,26420,20.43,20.36,21.15,21.2,11月29日,19.4,11月1日,3.72
1506  正道,97191707,4894709,1449,19.86,20.16,19.1,22.9,11月2日,18.85,11月30日,4
1507  永大,760901324,13445196,8607,56.59,57.16,54.6,60.3,11月7日,53.6,11月22日,3.27
1512  瑞利,27128803,3678948,1205,7.37,7.33,7.27,7.78,11月1日,7,11月21日,2.02
1513  中興電,142090665,9208976,4527,15.43,15.4,15.65,15.7,11月30日,15.15,11月22日,1.92
1514  亞力,52915722,6459419,1643,8.19,8.2,8.27,8.37,11月2日,7.95,11月21日,3.21
1515  力山,29153957,5573870,1636,5.23,5.27,5.19,5.57,11月13日,4.94,11月8日,2.44
1517  利奇,130518738,11669608,4003,11.18,11.16,11.55,11.6,11月13日,10.6,11月6日,5.12
1519  華城,78082415,6671032,3035,11.7,11.87,11.35,12.5,11月2日,11.2,11月21日,2.56
1521  大億,189097389,4511224,3168,41.92,42.87,40.2,47.95,11月1日,37.9,11月20日,5.92
1522  堤維西,54423579,5291211,2503,10.29,10.3,10,10.7,11月1日,10,11月30日,1.68
1524  耿鼎,53592898,8348369,2900,6.42,6.34,6.22,7.05,11月13日,5.97,11月22日,5.14
1525  江申,74452110,1627091,1159,45.76,45.8,45.8,47.8,11月9日,43,11月22日,2.35
1526  日馳,1246883,183042,136,6.81,6.76,7,7.13,11月1日,6.55,11月22日,0.37
1527  鑽全,80071215,4496121,2306,17.81,17.41,18.85,19.5,11月26日,16.1,11月1日,2.92
1528  恩德,27800227,2809935,985,9.89,9.91,10.05,10.3,11月5日,9.6,11月1日,1.91
1530  亞崴,31997920,1069358,642,29.92,29.98,30.4,30.6,11月26日,28.9,11月1日,1.13
1531  高林股,78344667,4695586,2501,16.68,16.6,16.6,17.2,11月30日,16.15,11月22日,2.43
1533  車王電,13450520,833386,455,16.14,16.06,16.4,16.9,11月12日,15.45,11月22日,0.86
1535  中宇,144774242,2274184,1283,63.66,63.65,63.7,64.5,11月2日,62.6,11月8日,2.01
1536  和大,127232158,7604949,2859,16.73,16.71,17.35,17.7,11月1日,15.85,11月21日,4.8
1537  廣隆,937064673,16742259,8805,55.97,56.11,56.9,59.9,11月2日,53,11月21日,20.52
1538  正峰新,60926991,7653737,3570,7.96,7.93,8.18,8.8,11月13日,7.2,11月7日,4.72
1539  巨庭,6405150,987396,473,6.49,5.72,7.12,7.12,11月30日,5.26,11月1日,1.51
1540  喬福,45737991,2493217,1237,18.34,18.39,18.5,19,11月8日,17.6,11月20日,2.92
1541  錩泰,1840005,182749,140,10.07,10.01,10.45,10.45,11月30日,9.31,11月21日,0.23
1560  中砂,260659324,6398662,4228,40.74,40.28,42.1,42.3,11月30日,39.05,11月21日,4.54
1583  程泰,26824626,679171,471,39.5,39.49,40.25,40.7,11月22日,38.7,11月22日,0.7
1589  F-永冠,128265879,3952815,2393,32.45,31.87,32.9,34.8,11月12日,29.4,11月1日,3.92
1590  F-亞德,690447047,4698122,3524,146.96,145.68,153.5,154,11月23日,130,11月1日,3.13
2049  上銀,18412168018,97340097,68887,189.15,191.66,213,215,11月29日,167.5,11月5日,39.5
2231  為升,99857280,1577650,1158,63.29,62.53,62.6,66.5,11月20日,57.5,11月1日,2.61
4526  東台,119040796,5641008,3464,21.1,21.22,20.9,22.4,11月9日,20.2,11月22日,2.49
4532  瑞智,448228316,19835470,8030,22.6,22.43,23.35,23.65,11月30日,20.4,11月1日,4.49
6605  帝寶,200905308,3231406,1434,62.17,62.67,62.7,64.1,11月7日,61.2,11月2日,1.95
8374  羅昇,301321080,11716663,7627,25.72,24.56,27.6,29,11月29日,22.2,11月5日,13.37
06 電器電纜類,,,,,,,,,,,
Electrical and Cable,,,,,,,,,,,
1603  華電,126655407,12260338,3341,10.33,10.29,10.5,10.75,11月13日,9.95,11月6日,3.58
1604  聲寶,659475209,66024264,12235,9.99,10.04,10.3,10.4,11月27日,9.33,11月1日,11.3
1605  華新,1216717722,147160046,42261,8.27,8.21,9.12,9.12,11月30日,7.68,11月1日,4.07
1608  華榮,292267998,27343562,6195,10.69,10.71,10.95,10.95,11月30日,10.3,11月9日,4.32
1609  大亞,62404410,9143088,3028,6.83,6.8,7.16,7.16,11月30日,6.63,11月22日,1.58
1611  中電,123811894,7368339,3139,16.8,16.8,17.2,17.25,11月30日,16.35,11月22日,1.85
1612  宏泰,92764865,9471063,2944,9.79,9.75,10.1,10.15,11月30日,9.36,11月6日,2.92
1613  台一,17585771,4203220,1475,4.18,4.18,4.16,4.57,11月1日,4.01,11月23日,2.1
1614  三洋電,57195523,1943368,1072,29.43,29.44,30,30,11月30日,29,11月22日,0.61
1615  大山,3572349,342723,236,10.42,10.46,10.4,10.85,11月2日,10.15,11月27日,0.31
1616  億泰,24992785,4681853,1477,5.34,5.36,5.29,5.6,11月13日,5.1,11月22日,2.41
1617  榮星,4488217,463805,292,9.68,9.7,9.4,10.4,11月12日,9.2,11月21日,0.32
1618  合機,98912721,9357420,2742,10.57,10.55,10.65,11.2,11月9日,10,11月1日,3.88
4930  燦星網,190718210,17774801,6645,10.73,10.65,11.2,11.35,11月29日,10,11月1日,8.13
08 玻璃陶瓷類,,,,,,,,,,,
Glass and Ceramics,,,,,,,,,,,
1802  台玻,1065254774,41024940,22698,25.97,26.1,27.4,27.5,11月7日,24,11月21日,1.73
1806  冠軍,160505528,15746080,4975,10.19,10.14,10.55,10.65,11月30日,9.87,11月5日,3.6
1809  中釉,72615822,5567217,2133,13.04,12.99,13.5,13.6,11月30日,12.5,11月1日,2.93
1810  和成,88865214,9966582,2896,8.92,8.87,9.08,9.17,11月5日,8.32,11月21日,2.69
09 造紙工業類,,,,,,,,,,,
Paper and Pulp,,,,,,,,,,,
1902  台紙,93904135,10891811,3468,8.62,8.58,8.99,9,11月30日,8.31,11月5日,2.71
1903  士紙,165281158,3504627,2552,47.16,46.74,47.3,49.6,11月12日,43.1,11月1日,1.35
1904  正隆,290663934,24166409,8796,12.03,11.98,12.2,12.35,11月30日,11.55,11月6日,2.25
1905  華紙,513708268,52896714,13607,9.71,9.45,10.15,10.4,11月28日,8.81,11月1日,4.21
1906  寶隆,4079563,735181,337,5.55,5.53,6,6,11月30日,5.23,11月5日,0.49
1907  永豐餘,411785334,33546931,12389,12.27,12.21,12.35,12.6,11月29日,11.85,11月1日,2.02
1909  榮成,37800181,4906132,1752,7.7,7.65,7.9,7.96,11月30日,7.44,11月1日,0.71
10 鋼鐵工業類,,,,,,,,,,,
Iron and Steel,,,,,,,,,,,
1532  勤美,781864890,29125247,12294,26.84,26.86,27.3,28.8,11月12日,24.2,11月20日,7.7
2002  中鋼,8532476740,335994999,114809,25.39,25.37,26.6,26.6,11月30日,24.7,11月15日,2.2
2002A 中鋼特,3354400,85000,51,39.46,39.41,39.5,40.1,11月6日,39.2,11月6日,0.22
2006  東鋼,1096455742,38437878,18283,28.53,28.38,29.9,29.9,11月30日,27.1,11月1日,3.89
2007  燁興,26243571,4915807,1715,5.34,5.34,5.38,5.5,11月21日,5.16,11月6日,0.78
2009  第一銅,71422087,7222337,2131,9.89,9.91,10,10.1,11月1日,9.7,11月19日,2.01
2010  春源,51370677,4697439,2035,10.94,10.94,11.05,11.1,11月30日,10.75,11月21日,0.73
2012  春雨,134390560,12341161,2372,10.89,10.73,11.55,11.7,11月30日,10,11月1日,4.29
2013  中鋼構,80964545,2780133,1614,29.12,29.14,29.4,29.6,11月30日,28.5,11月30日,1.73
2014  中鴻,172221814,22342660,9313,7.71,7.66,7.92,8.05,11月27日,7.29,11月1日,1.56
2015  豐興,567555156,11717405,7813,48.44,48.17,49.2,50.4,11月26日,46.1,11月1日,2.01
2017  官田鋼,82253160,12715545,4198,6.47,6.42,6.66,6.79,11月13日,6.1,11月1日,3.28
2020  美亞,46960453,4124298,1114,11.39,11.41,11.6,11.6,11月30日,10.85,11月1日,1.55
2022  聚亨,105151709,22013098,5001,4.78,4.75,5.06,5.11,11月30日,4.38,11月1日,4.55
2023  燁輝,211123245,25180812,9802,8.38,8.4,8.57,8.6,11月30日,8.08,11月1日,1.54
2024  志聯,5414892,1087726,402,4.98,4.99,5.09,5.15,11月12日,4.82,11月7日,0.99
2025  千興,20437030,6667559,1586,3.07,3.06,3.09,3.19,11月14日,2.99,11月6日,2.07
2027  大成鋼,120837194,8539894,3872,14.15,14.12,14.45,14.55,11月30日,13.8,11月22日,1.21
2028  威致,10470238,2446523,946,4.28,4.3,4.43,4.5,11月19日,4.1,11月6日,0.92
2029  盛餘,24416205,1386845,771,17.61,17.66,17.85,17.9,11月14日,17,11月22日,0.43
2030  彰源,70320792,7554926,3415,9.31,9.46,9.02,10.2,11月13日,8.93,11月27日,2.77
2031  新光鋼,119587121,6876433,2906,17.39,17.29,18.25,18.3,11月30日,16.5,11月1日,2.48
2032  新鋼,60736987,5797648,2377,10.48,10.27,10.5,10.9,11月13日,9.85,11月1日,4.44
2033  佳大,39001621,3691480,1615,10.57,10.35,10.55,11,11月20日,9.9,11月8日,4.57
2034  允強,82294760,5267405,2509,15.62,15.54,16.15,16.3,11月30日,15.1,11月8日,1.42
2038  海光,41929883,4385031,1774,9.56,9.51,9.95,9.98,11月30日,9.01,11月1日,1.64
3004  豐達科,83966723,2082145,1258,40.33,39.92,40.1,42,11月7日,38.45,11月21日,8.52
5007  三星,203357718,4811500,1168,42.26,42.39,42.7,43.1,11月28日,41.1,11月22日,2.19
9958  世紀鋼,32175285,3078468,1207,10.45,10.47,10.5,10.7,11月14日,10.2,11月22日,2.23
11 橡膠工業類,,,,,,,,,,,
Rubber,,,,,,,,,,,
2101  南港,1520465589,44934516,25703,33.84,33.57,35.55,35.8,11月30日,32.05,11月22日,5.11
2102  泰豐,1214955588,57235001,20624,21.23,20.9,21.85,22.65,11月26日,18.35,11月1日,14.2
2103  台橡,3065064552,54885102,35748,55.85,55.76,62.8,62.8,11月30日,51.5,11月13日,6.98
2104  中橡,744821749,24151571,9783,30.84,30.78,30.65,32.3,11月5日,29.45,11月27日,4.4
2105  正新,7653185355,106111809,46918,72.12,72.19,74.1,74.8,11月30日,69,11月16日,3.76
2106  建大,858433772,24120691,12712,35.59,35.36,36.85,37.35,11月30日,33.75,11月1日,3.29
2107  厚生,502006018,24947081,10904,20.12,20.09,20.4,20.9,11月12日,19.4,11月22日,5.02
2108  南帝,169480755,9897436,5253,17.12,17.33,17.4,18.8,11月2日,15.5,11月22日,2.6
2109  華豐,49119164,8078998,965,6.08,5.97,6.05,6.19,11月26日,5.7,11月21日,2.51
2114  鑫永銓,699798576,8347058,5524,83.84,83.73,87.3,89,11月30日,77.6,11月1日,13.6
12 汽車工業類,,,,,,,,,,,
Automobile,,,,,,,,,,,
2201  裕隆,4926272436,97300218,47064,50.63,50.63,52.5,53.4,11月29日,48.6,11月6日,6.19
2204  中華,1288449697,50063055,25682,25.74,25.86,26.7,27.05,11月9日,24.3,11月21日,3.62
2206  三陽,535780162,29198906,9852,18.35,18.32,18,19.35,11月9日,17.5,11月22日,3.26
2207  和泰車,2471274124,12707312,10583,194.48,193.05,215,215,11月30日,174,11月14日,2.33
2227  裕日車,1111112931,5204415,4625,213.49,210.91,232,238.5,11月30日,190.5,11月21日,1.73
14 建材營造類,,,,,,,,,,,
Building Material and Construction,,,,,,,,,,,
1436  福益,9930763,183038,176,54.26,54.2,54.9,56.9,11月14日,53,11月16日,0.31
1442  名軒,80223526,3395104,1547,23.63,23.74,23.9,24.3,11月26日,23.05,11月9日,1.65
1805  寶徠,7525281,505424,286,14.89,15.11,15.4,16.45,11月29日,14.2,11月7日,1.01
1808  潤隆,177420030,5223110,3199,33.97,33.98,33.3,35.95,11月2日,31.85,11月22日,3.61
2501  國建,628617302,45769748,18121,13.73,13.68,13.8,14.15,11月7日,13.1,11月22日,2.76
2504  國產,676005536,62735136,16490,10.78,10.66,10.95,11.15,11月29日,10.2,11月1日,4.13
2505  國揚,478363433,34503822,10547,13.86,13.77,14.2,14.4,11月30日,12.9,11月1日,8.47
2506  太設,35234155,4504143,1811,7.82,7.81,8,8.03,11月30日,7.65,11月22日,1.1
2509  全坤建,49154167,2646931,1209,18.57,18.35,18.7,19.45,11月8日,17.2,11月1日,1.74
2511  太子,1128933192,56831046,24740,19.86,19.87,20.3,20.9,11月2日,18.75,11月22日,4.76
2515  中工,713870791,97653686,23849,7.31,7.28,7.32,7.65,11月12日,6.92,11月21日,6.4
2516  新建,74365160,8949134,2644,8.31,8.34,8.56,8.58,11月12日,7.91,11月1日,3.86
2520  冠德,378695885,20035065,8964,18.9,18.86,19.2,19.55,11月12日,18.25,11月22日,4.02
2524  京城,335013421,11411833,6066,29.36,29.27,29.55,30.95,11月12日,26.9,11月1日,3.04
2527  宏璟,175912780,13992322,4996,12.57,12.42,13.15,13.3,11月30日,11.05,11月1日,5.18
2528  皇普,1450235,150938,95,9.61,9.56,9.66,9.99,11月8日,8.75,11月16日,0.15
2530  華建,21025800,2427319,1060,8.66,8.69,8.75,9,11月2日,8.35,11月22日,0.9
2534  宏盛,221138054,13623097,4578,16.23,16.21,16.4,16.75,11月29日,15.6,11月1日,2.31
2535  達欣工,189711719,9874571,3936,19.21,19.16,19.05,19.9,11月2日,18.5,11月22日,3.7
2536  宏普,482314014,17169868,7990,28.09,28.02,28.85,29.4,11月12日,26.6,11月1日,5.38
2537  聯上發,21991670,1685778,680,13.05,13.04,13,13.55,11月1日,12.65,11月28日,1.19
2538  基泰,1365109230,67660334,23080,20.18,20.1,19.9,21.6,11月12日,18.7,11月1日,17.06
2539  櫻花建,12715242,649019,324,19.59,19.62,19.9,20.2,11月15日,19,11月8日,0.39
2542  興富發,1420793773,27060809,17409,52.5,52.3,53.9,55.2,11月13日,49.5,11月21日,4.52
2543  皇昌,10929199,1892500,610,5.78,5.46,6.17,6.17,11月30日,5.2,11月15日,1.06
2545  皇翔,3673774311,50504989,28255,72.74,72.36,72.8,75.7,11月9日,66.5,11月1日,15.41
2546  根基,18410563,1528390,642,12.05,12.05,12.1,12.65,11月7日,11.45,11月21日,1.44
2547  日勝生,707055917,38478101,15085,18.38,18.27,18.75,19,11月9日,17.65,11月1日,4.75
2548  華固,2240962861,35833329,20902,62.54,62.36,63.6,65.3,11月12日,58,11月1日,12.94
2597  潤弘,18046714,494680,349,36.48,36.55,37.8,37.8,11月30日,35.15,11月6日,0.37
2841  台開,272883799,24457134,5582,11.16,11.08,11.05,11.65,11月7日,10.85,11月22日,3.73
3056  總太,92312311,4137914,2018,22.31,22.35,22.25,23.45,11月2日,21,11月21日,3.1
3703  欣陸,146585600,13914072,3408,10.54,10.54,10.6,10.8,11月12日,10.25,11月22日,1.65
5515  建國,167460012,12275724,4771,13.64,13.48,13.9,14.35,11月13日,12.7,11月1日,3.41
5522  遠雄,1275016195,24778076,14980,51.46,51.43,54.4,54.4,11月30日,48.3,11月1日,3.21
5525  順天,64840249,3970204,1404,16.33,16.3,16.9,16.95,11月30日,15.75,11月1日,1.7
5531  鄉林,157287008,7548765,3999,20.84,20.75,21.4,21.65,11月28日,19.95,11月1日,1.35
5533  皇鼎,107244560,5917352,1911,18.12,18.16,18.3,18.4,11月30日,17.7,11月1日,2.61
5534  長虹,2886421510,38849110,22145,74.3,74.15,78,78,11月30日,66.1,11月1日,15.69
15 航運業類,,,,,,,,,,,
Shipping and Transportation,,,,,,,,,,,
2208  台船,240308191,13864944,6982,17.33,17.32,17.85,17.9,11月30日,16.8,11月1日,1.86
2601  益航,730484904,30665923,14929,23.82,23.63,24.9,25.5,11月30日,21.6,11月1日,11.05
2603  長榮,3222095463,199210733,52848,16.17,16.1,17.1,17.1,11月30日,14.9,11月1日,5.73
2605  新興,282386634,11466333,6211,24.63,24.48,26.1,26.1,11月30日,23.9,11月2日,2.02
2606  裕民,635755967,14278548,9469,44.53,44.42,46.35,46.35,11月30日,43,11月19日,1.66
