,民國101年04月,,,,,,,Apr-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1603  華電,42445220,5184379,1516,8.19,8.17,8.2,8.64,4月13日,7.71,4月5日,1.51
1604  聲寶,268776241,33005428,8840,8.14,8.08,8.36,8.52,4月16日,7.7,4月24日,5.58
1605  華新,1004006857,113575895,30500,8.84,8.8,8.51,9.35,4月2日,8.39,4月24日,3.14
1608  華榮,87156419,10776981,2899,8.09,8,8.39,8.39,4月30日,7.7,4月9日,1.7
1609  大亞,149462941,19132017,5713,7.81,7.8,7.81,8.23,4月2日,7.52,4月24日,3.3
1611  中電,1167026814,53274934,22565,21.91,21.36,21.7,23.65,4月20日,19,4月5日,13.37
1612  宏泰,67118197,6931527,3351,9.68,9.64,10.05,10.15,4月30日,9.22,4月24日,2.14
1613  台一,101541356,16992946,4995,5.98,5.58,5.18,6.7,4月2日,5.02,4月24日,8.5
1614  三洋電,107530332,3639586,2109,29.54,29.51,28.5,31.15,4月2日,28.2,4月27日,1.15
1615  大山,8454674,715113,438,11.82,11.83,11.2,12.8,4月2日,11.2,4月30日,0.64
1616  億泰,22194023,5426567,1036,4.09,4.08,4.2,4.49,4月27日,3.7,4月24日,2.8
1617  榮星,28745128,2331309,897,12.33,12.24,11.55,13,4月12日,11.1,4月30日,1.65
1618  合機,123395929,11563217,3788,10.67,10.44,10.3,12,4月2日,9.8,4月9日,4.8
4930  燦星網,214730477,12516186,5924,17.16,16.96,15.8,19,4月2日,15.6,4月30日,5.73
08 玻璃陶瓷類,,,,,,,,,,,
Glass and Ceramics,,,,,,,,,,,
1802  台玻,1373074428,44070099,21348,31.16,30.99,29.1,33.25,4月2日,28.6,4月30日,1.94
1806  冠軍,335185890,24428108,8307,13.72,13.51,12.75,15.1,4月2日,12.65,4月30日,5.59
1809  中釉,442702698,24542859,10186,18.04,17.5,15.95,19.75,4月2日,15.75,4月30日,12.93
1810  和成,132197978,14096096,3817,9.38,9.35,9.23,10.15,4月2日,8.91,4月5日,3.81
09 造紙工業類,,,,,,,,,,,
Paper and Pulp,,,,,,,,,,,
1902  台紙,136340040,13209631,4158,10.32,10.27,10.2,11.2,4月2日,9.9,4月5日,3.29
1903  士紙,192708087,4458130,2451,43.23,44.44,40.9,49,4月16日,40.15,4月23日,1.71
1904  正隆,183670319,15616955,6880,11.76,11.83,11.35,12.05,4月13日,11.2,4月30日,1.45
1905  華紙,198230456,19103758,6153,10.38,10.37,9.95,10.95,4月2日,9.86,4月30日,3.1
1906  寶隆,5477674,774735,335,7.07,7.07,6.94,7.76,4月2日,6.82,4月5日,0.51
1907  永豐餘,495232357,37672312,13799,13.15,13.16,13.2,13.6,4月10日,12.75,4月5日,2.27
1909  榮成,66730244,7626854,2504,8.75,8.73,8.41,9.05,4月3日,8.4,4月30日,1.11
10 鋼鐵工業類,,,,,,,,,,,
Iron and Steel,,,,,,,,,,,
1532  勤美,124539460,6339678,3052,19.64,19.63,19.35,20.15,4月16日,19,4月5日,1.74
2002  中鋼,9059328629,312039583,107421,29.03,29.02,29.05,30,4月3日,28.7,4月24日,2.07
2002A 中鋼特,10312700,262000,93,39.36,39.42,39.5,39.8,4月3日,38.9,4月5日,0.68
2006  東鋼,1007352488,35369036,15766,28.48,28.5,27.8,29.9,4月3日,27.6,4月27日,3.61
2007  燁興,47694042,8577874,2227,5.56,5.35,5.6,6,4月25日,4.96,4月20日,1.36
2009  第一銅,41666386,5118383,2055,8.14,8.1,8.1,8.9,4月2日,7.8,4月5日,1.42
2010  春源,67848807,5481939,2304,12.38,12.4,12.35,12.7,4月3日,11.95,4月5日,0.86
2012  春雨,41005463,4496160,1471,9.12,9.14,9.18,9.27,4月26日,8.7,4月20日,1.56
2013  中鋼構,282889089,9350316,4625,30.25,30.25,30.2,30.75,4月13日,29.4,4月5日,5.81
2014  中鴻,310950931,32955056,11867,9.44,9.36,8.95,10.4,4月2日,8.85,4月30日,2.3
2015  豐興,783361308,15331069,10049,51.1,50.96,49.2,52,4月18日,49.1,4月30日,2.64
2017  官田鋼,228076334,27985144,8914,8.15,8.07,7.56,9.1,4月2日,7.45,4月30日,8.28
2020  美亞,164080506,13922248,3908,11.79,11.95,12,12.4,4月25日,11.1,4月5日,5.05
2022  聚亨,128629562,21857160,5412,5.89,5.84,5.57,6.45,4月2日,5.52,4月30日,4.52
2023  燁輝,355835233,35163396,9901,10.12,10.1,10.05,10.75,4月2日,9.91,4月5日,2.19
2024  志聯,21972556,3022115,946,7.27,7.26,7,7.59,4月3日,7,4月30日,3.33
2025  千興,24280683,6167690,1871,3.94,3.95,3.95,4.11,4月2日,3.73,4月16日,1.91
2027  大成鋼,132814642,8323253,3579,15.96,15.99,15.9,16.45,4月2日,15.5,4月5日,1.18
2028  威致,24065042,4678591,1481,5.14,5.14,5.05,5.3,4月13日,4.95,4月23日,1.77
2029  盛餘,40331994,2028525,1092,19.88,19.88,19.8,20.5,4月3日,19.4,4月24日,0.63
2030  彰源,42855149,3844699,1793,11.15,11.21,11,12,4月3日,10.5,4月30日,1.41
2031  新光鋼,178500874,8723504,4121,20.46,20.44,20.15,21.95,4月3日,19.45,4月5日,3.15
2032  新鋼,14435834,1391357,731,10.38,10.31,9.93,11.1,4月2日,9.9,4月30日,1.08
2033  佳大,12695259,1120394,491,11.33,11.33,11,12,4月10日,10.55,4月19日,1.39
2034  允強,98938170,5594625,2606,17.68,17.66,17,18.4,4月2日,17,4月30日,1.51
2038  海光,105456193,7448956,3702,14.16,14.1,13.85,14.55,4月10日,13.65,4月24日,4.09
3004  豐達科,279285352,5348535,3509,52.22,52.08,48.45,59.9,4月2日,45.2,4月23日,22.5
5007  三星,102998562,2294970,971,44.88,44.99,45.1,46.95,4月2日,43.5,4月5日,1.04
9958  世紀鋼,11755451,1438457,654,8.17,8.18,8.02,8.64,4月9日,7.8,4月27日,1.04
11 橡膠工業類,,,,,,,,,,,
Rubber,,,,,,,,,,,
2101  南港,1716614025,38760841,22221,44.29,44.1,42.9,46.5,4月16日,42.3,4月30日,5.38
2102  泰豐,121024746,7940540,3206,15.24,15.17,14.85,16.1,4月2日,14.7,4月24日,2.1
2103  台橡,4905044220,68764927,36101,71.33,71.5,70.7,76.3,4月2日,69.1,4月19日,9.62
2104  中橡,496504383,17429595,6180,28.49,28.51,28.6,29.3,4月30日,27.35,4月5日,3.17
2105  正新,9047569932,129752396,52068,69.73,69.66,72.7,72.7,4月30日,65.3,4月5日,5.25
2106  建大,780548502,23448025,9841,33.29,33.19,32.95,34.55,4月2日,31.7,4月5日,3.4
2107  厚生,395880426,20150611,8528,19.65,19.57,18.75,21.25,4月2日,18.2,4月24日,4.05
2108  南帝,397662379,15639806,6168,25.43,25.31,24.9,27,4月2日,24.3,4月23日,4.32
2109  華豐,70267909,11686838,2723,6.01,5.92,5.85,6.9,4月2日,5.65,4月5日,3.63
2114  鑫永銓,163981037,2713320,1809,60.44,60.41,60.1,62.6,4月2日,58.2,4月5日,4.42
12 汽車工業類,,,,,,,,,,,
Automobile,,,,,,,,,,,
2201  裕隆,9104615467,185114806,84393,49.18,49.18,46.8,55.6,4月2日,45.35,4月24日,11.77
2204  中華,3375659794,128941377,54384,26.18,26.03,24.15,28.25,4月2日,24,4月30日,9.32
2206  三陽,1052463577,57259951,15147,18.38,18.24,16.85,20.1,4月2日,16.15,4月30日,6.39
2207  和泰車,7907255790,39767512,29466,198.84,198.22,186,248,4月2日,178,4月27日,7.28
2227  裕日車,1304259250,6809188,4999,191.54,194.92,182.5,212.5,4月6日,170,4月24日,2.27
14 建材營造類,,,,,,,,,,,
Building Material and Construction,,,,,,,,,,,
1436  福益,445450763,29493577,5641,15.1,15.07,14.8,16.75,4月5日,14.1,4月11日,8.92
1442  名軒,270082269,9766067,3903,27.66,27.58,27.4,28.9,4月2日,26.5,4月24日,4.73
1805  寶徠,16583732,940350,489,17.64,16.65,19.1,19.8,4月30日,15.2,4月24日,1.87
1808  潤隆,1038791281,24154198,13283,43.01,42.76,42.05,44.55,4月13日,40.1,4月5日,16.98
2501  國建,2152948258,155298238,38160,13.86,13.59,13.65,14.85,4月16日,12.6,4月5日,9.37
2504  國產,617879624,52982671,14265,11.66,11.44,11.25,12.25,4月16日,11.05,4月27日,3.49
2505  國揚,572869624,47300762,11907,12.11,12.31,10.75,14.2,4月16日,10.65,4月30日,10.69
2506  太設,171351096,18172940,5308,9.43,9.24,8.98,10.3,4月16日,8.78,4月27日,4.54
2509  全坤建,210716711,10242120,3797,20.57,20.49,20.25,21.4,4月16日,19.7,4月5日,6.75
2511  太子,1746572695,81378700,32366,21.46,21.39,21.1,23.3,4月13日,19.8,4月5日,7.49
2515  中工,547334930,68742731,17420,7.96,7.89,7.67,8.54,4月2日,7.61,4月30日,4.51
2516  新建,124030601,13755455,4013,9.02,9.01,9,9.58,4月16日,8.3,4月5日,6.23
2520  冠德,1201929560,64697729,23203,18.58,18.37,18.2,20.9,4月2日,17.6,4月23日,13.11
2524  京城,261160825,10326045,4833,25.29,25.13,25.1,27.25,4月17日,22.4,4月5日,2.89
2527  宏璟,121012185,9519283,3642,12.71,12.5,11.9,13.7,4月2日,11.65,4月27日,3.52
2528  皇普,3969084,405202,153,9.8,9.69,9.88,10.15,4月9日,9,4月24日,0.41
2530  華建,51281527,5204498,2210,9.85,9.86,9.61,10.3,4月16日,9.3,4月5日,1.96
2534  宏盛,245260657,16825175,5975,14.58,14.52,14.55,15.4,4月16日,13.85,4月5日,2.84
2535  達欣工,174074198,9258045,5118,18.8,18.77,18.65,19.4,4月3日,18.3,4月24日,3.47
2536  宏普,772140616,27340249,13107,28.24,28.06,26.7,31.8,4月2日,25.45,4月26日,8.57
2537  聯上發,24129917,1558515,679,15.48,15.56,15.2,16.1,4月16日,15,4月5日,4.59
2538  基泰,1212714019,72885514,24521,16.64,16.25,16.1,18.3,4月16日,15.15,4月5日,18.38
2539  櫻花建,8254460,395282,290,20.88,20.78,20.6,22.05,4月26日,19.5,4月2日,0.27
2542  興富發,1863567000,36886117,22813,50.52,50.14,49,53.8,4月16日,48.05,4月5日,5.04
2543  皇昌,7602629,1305419,601,5.82,5.82,5.72,6.1,4月16日,5.55,4月5日,0.73
2545  皇翔,1776635458,30818470,16840,57.65,56.78,58.4,62.7,4月16日,52.3,4月5日,9.4
2546  根基,21717821,1576384,943,13.78,13.66,13.35,14.65,4月2日,13.1,4月30日,1.46
2547  日勝生,1423739049,63995581,27147,22.25,22.12,21.5,24,4月2日,20.85,4月23日,8.17
2548  華固,1623888550,22393395,12942,72.52,72.17,70.1,75.7,4月3日,69.1,4月30日,8.25
2597  潤弘,79300973,2165066,1113,36.63,36.77,33.8,38,4月11日,32.6,4月26日,1.6
2841  台開,305318618,25140140,6251,12.14,12.08,11.95,12.65,4月13日,11.6,4月5日,4.06
3056  總太,618647114,22257617,9885,27.79,27.61,26.75,30.05,4月16日,25.7,4月5日,20.17
3703  欣陸,124179548,11337298,3424,10.95,10.94,11,11.55,4月2日,10.75,4月23日,1.35
5515  建國,458881936,31859400,9429,14.4,14.31,14,15.35,4月2日,13.5,4月27日,8.85
5522  遠雄,1242647634,22431352,15442,55.4,55.36,54,59.6,4月3日,52.4,4月23日,2.91
5525  順天,26115550,1684563,823,15.5,15.48,15.45,15.95,4月13日,15.05,4月5日,0.72
5531  鄉林,465110022,17259483,8864,26.95,26.49,25.75,29.4,4月16日,24.55,4月5日,3.69
5533  皇鼎,89182980,4797891,1684,18.59,18.49,18.2,19.5,4月10日,17.7,4月5日,2.27
5534  長虹,1230244848,19199841,11287,64.08,63.47,60,68,4月16日,59.4,4月30日,7.85
15 航運業類,,,,,,,,,,,
Shipping and Transportation,,,,,,,,,,,
2208  台船,331314472,14053978,7114,23.57,23.59,23.65,24.1,4月2日,22.9,4月5日,1.95
2601  益航,1546076546,36270712,18340,42.63,42.41,43.6,44.85,4月13日,40,4月5日,13.07
2603  長榮,4459366347,246912470,64541,18.06,18.2,17.2,20.1,4月3日,16.45,4月24日,7.11
2605  新興,442852164,15255485,6719,29.03,29.04,29.05,29.7,4月25日,28.2,4月5日,2.68
2606  裕民,962813154,19289960,12927,49.91,49.86,49.6,51.8,4月20日,48.5,4月12日,2.25
2607  榮運,534209902,36195367,9541,14.76,14.73,14.45,15.55,4月13日,14.1,4月24日,3.39
2608  大榮,282697357,8468074,4968,33.38,33.37,33,34.5,4月5日,32.35,4月23日,1.75
2609  陽明,3296372676,239102458,67961,13.79,14.02,12.4,16.2,4月10日,12.2,4月30日,8.48
2610  華航,2285573306,200132627,53438,11.42,11.41,11.35,12.05,4月3日,11,4月19日,3.85
2611  志信,145143993,9918862,2673,14.63,14.68,14.65,15.2,4月25日,13.95,4月5日,5.06
2612  中航,99520416,2359625,1726,42.18,42.2,41.7,44,4月2日,41.1,4月30日,0.92
2613  中櫃,38967076,2654503,1205,14.68,14.52,14,15.5,4月2日,13.8,4月30日,2.98
2614  東森,191556298,53240294,7413,3.6,3.69,3.39,3.93,4月2日,3.17,4月30日,3.75
2615  萬海,426461284,27864225,9684,15.3,15.32,14.8,16.8,4月3日,14.5,4月23日,1.26
2617  台航,95034351,3139543,2000,30.27,30.18,29.1,32.65,4月2日,29.1,4月30日,0.75
2618  長榮航,2875141967,165755703,52502,17.35,17.33,17.55,18.15,4月26日,16.6,4月18日,5.09
2637  F-慧洋,424096618,9814989,4423,43.21,43.05,42.3,44.5,4月2日,41.6,4月5日,2.74
5607  遠雄港,120111985,7287580,3331,16.48,16.46,15.9,18.05,4月3日,15,4月24日,4.29
5608  四維航,162917012,6109106,3643,26.67,26.7,27.4,28,4月30日,25.8,4月23日,1.67
6702  復航,335899899,19825640,6136,16.94,17.09,16.65,18,4月2日,15.95,4月30日,3.94
16 觀光事業類,,,,,,,,,,,
Tourism,,,,,,,,,,,
2701  萬企,18916815,1402369,812,13.49,13.5,13.45,13.85,4月16日,13.15,4月5日,0.41
2702  華園,27157628,1318483,748,20.6,20.6,21.05,21.2,4月19日,19.5,4月9日,1.69
2704  國賓,647485566,18231533,8762,35.51,35.53,35.3,37.4,4月2日,34,4月5日,4.97
2705  六福,589676943,32909867,12056,17.92,17.78,17.7,19.35,4月2日,17.05,4月24日,9.97
2706  第一店,47033477,2408426,1436,19.53,19.53,19.4,20.2,4月3日,18.8,4月5日,0.72
2707  晶華,1114974991,2759746,2762,404.01,403.42,397,421,4月2日,392,4月24日,3.14
2722  夏都,607267986,13464455,8706,45.1,44.19,41.5,52.8,4月2日,40.6,4月24日,17.47
2723  F-美食,620849613,2657086,1483,233.66,235.2,230,250,4月2日,225,4月23日,1.98
2727  王品,3595793047,7925861,7019,453.68,451.65,415,478.5,4月2日,411,4月30日,11.66
5706  鳳凰,443173211,7023337,5046,63.1,62.66,63,66.6,4月2日,59.6,4月5日,11.5
8940  新天地,128989749,4846244,2907,26.62,26.66,27.5,27.85,4月2日,25,4月5日,7.18
17 金融保險類,,,,,,,,,,,
Finance and Insurance,,,,,,,,,,,
2801  彰銀,3245964771,200012378,43690,16.23,16.24,16.2,16.9,4月3日,15.75,4月23日,2.96
2809  京城銀,718954052,40878396,12538,17.59,17.61,17.05,19.05,4月2日,16.6,4月24日,3.89
2812  台中銀,397940604,43614963,10020,9.12,9.14,9.16,9.39,4月3日,8.87,4月5日,1.95
2816  旺旺保,82169857,6793608,3173,12.1,12.1,11.4,13.3,4月3日,10.95,4月26日,2.61
2820  華票,1966491507,155147743,33078,12.67,12.66,12.55,12.95,4月10日,12.2,4月24日,11.55
2823  中壽,8231261473,308801955,103146,26.66,26.47,26.1,29,4月3日,25.1,4月23日,14.04
2832  台產,129188247,6154899,3339,20.99,21,20.8,22.05,4月2日,20.1,4月24日,1.69
2833  台壽保,453809076,25847001,11246,17.56,17.48,16.75,19.35,4月2日,16.25,4月23日,3.02
2833A 台壽甲,9307513,267934,154,34.74,34.71,34.85,35,4月25日,34.5,4月9日,0.46
2834  臺企銀,1097305976,123505886,28272,8.88,8.88,8.88,9.24,4月3日,8.67,4月23日,2.62
2836  高雄銀,114078713,12920040,3280,8.83,8.83,8.75,9.2,4月2日,8.61,4月5日,1.83
2837  萬泰銀,160716907,18607058,5303,8.64,8.61,8.6,9,4月2日,8.25,4月9日,1.15
2838  聯邦銀,83869644,8449655,2700,9.93,9.96,9.85,10.2,4月10日,9.7,4月9日,0.51
2845  遠東銀,448559392,38407764,8958,11.68,11.64,11.6,12.05,4月12日,11.3,4月9日,1.81
2847  大眾銀,1769911740,157393956,23751,11.25,11.28,11.3,11.8,4月10日,10.45,4月5日,7.21
2849  安泰銀,165120724,11618275,4579,14.21,13.94,13.4,15.65,4月3日,13,4月30日,0.77
2850  新產,158485583,8338525,3587,19.01,19.05,19.3,19.45,4月27日,18.45,4月5日,2.64
