櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年2月 Feb., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 459,457,575,866元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,903,874筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,868,461,438股",,,,,,4. 成交量週轉率： 17.38%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
6506,雙邦實業,16703895,1243399,600,13.43,14.05,12.2,13.41,13.3,23.75,7.52,1.98,1.07,,
6509,聚和國際,461806658,30516375,12484,15.13,16.2,13.05,15.02,15.05,N/A,1.99,18.19,0.91,,
1565,精華光學,2282733340,6523008,5840,349.95,374,307,352.1,371,18.25,3.91,12.94,7.33,,
1752,南光    ,333991306,11036076,5787,30.26,33.25,24.3,28.43,28.6,2860,0,17.52,2.23,,
1777,生泰合成,94720760,1957064,1378,48.39,54,42.3,47.46,51.2,22.65,4.49,8.23,2.76,,
1781,合世生醫,64562397,4147756,2301,15.56,17.4,13.1,15.43,16.1,N/A,0,9.87,1.58,,
1784,訊聯    ,398267427,8758293,5725,45.47,51.3,41,44.28,43.75,106.71,0,17.44,1.91,,
1788,杏昌生技,730144785,8740927,6069,83.53,92,72,80.82,85.4,18.61,4.1,24.97,2.89,,
1795,美時化學,310294630,10331927,5741,30.03,32.55,24,29.41,29.6,N/A,1.01,23.18,2.22,,
1799,紅電醫  ,54294896,4191925,2033,12.95,14.1,9.55,12.56,12.75,N/A,0,13.18,1.16,,
1813,寶利徠  ,59230919,1873426,1120,31.61,34,28.2,31.42,32,35.96,4.69,4.56,2.05,,
3118,進階    ,60922847,1993196,1323,30.56,32.9,28.9,30.48,29.65,16.66,6.75,6.14,2.04,,
3176,基亞    ,4688608861,79772884,44444,58.77,68.8,46,59.05,63.1,N/A,0,72.08,9.16,,
3205,佰研生化,15719989,884227,536,17.77,20.2,13.7,17.74,18.6,N/A,0,3.58,1.69,,
3218,大學光學,1112028575,36196358,19089,30.72,32.75,29.15,30.24,29.2,45.63,0,54.39,1.86,,
