櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年06月 Jun. 10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 345,045,767,594元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,770,524筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,491,891,600股",,,,,,4. 成交量週轉率： 12.89%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
1799,紅電醫  ,27178849,1001284,631,27.14,28.4,26,26.99,27.9,32.82,6.58,3.56,1.8,,,
1813,寶利徠  ,58089668,1336257,940,43.47,44.8,41.6,43.3,42.5,23.88,0,3.25,2.91,,,
3118,進階    ,327174849,8518084,4766,38.4,41.15,34.9,37.01,35.1,21.02,4.07,27.56,2.32,,,
3205,佰研生化,14664430,518127,439,28.3,30.3,26.5,27.91,27.4,N/A,0,3.52,3.36,,,
3218,大學光學,31169900,1246197,822,25.01,26.5,23.5,24.77,24.25,N/A,3.82,2.75,1.65,,,
3266,弘如洋  ,39687456,1902092,1027,20.86,22,20,20.71,20.2,N/A,0,2.29,1.71,,,
4102,永日化工,125118438,3397111,2151,36.83,38.5,35.05,36.7,36.2,15.88,1.35,10.28,2.38,,,
4103,百略    ,440311332,8862703,5146,49.68,51.6,47.35,49.6,49.35,9.71,5.66,7.25,2.16,,,
4105,東洋藥品,2332725384,24035458,15290,97.05,104,89,95.78,92.5,32.57,3.56,18.73,5.54,,,
4107,邦特生技,302487014,7858962,4611,38.48,40,36.5,38.2,38,17.59,3.97,10.04,2.3,,,
4109,加捷    ,318571066,13697399,6238,23.25,25.3,21.55,22.68,22.6,53.81,2.94,30.56,1.67,,,
4111,濟生    ,114847819,5391084,2836,21.3,22.8,19.8,21.09,21.8,32.06,2.28,11.23,1.31,,,
4114,健喬信元,1742968715,43815785,21281,39.77,41.7,37.15,39.3,40.2,N/A,2.03,55.37,2.92,,,
